,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Recife, PE, Brasil",2023-07-03,28.0,22.0,24.9,30.7,22.0,25.5,21.9,84.3,2.0,100.0,4.17,rain,0,,37.4,29.5,178.4,1015.2,89.1,10.2,178.0,15.4,8,10,2023-07-03T05:33:51,2023-07-03T17:13:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82899099999,SBRF"
1,"Recife, PE, Brasil",2023-07-04,29.0,23.0,25.8,32.4,23.0,26.8,21.5,77.6,1.5,100.0,20.83,rain,0,,41.4,29.5,182.2,1017.0,56.0,11.5,231.1,19.9,8,10,2023-07-04T05:33:59,2023-07-04T17:13:56,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"82899099999,SBRF"
2,"Recife, PE, Brasil",2023-07-05,29.0,23.0,25.5,31.9,23.0,26.1,21.5,79.8,3.7,100.0,62.5,rain,0,,40.0,31.7,175.5,1017.3,77.4,8.8,231.0,20.1,8,10,2023-07-05T05:34:06,2023-07-05T17:14:10,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,SBRF
3,"Recife, PE, Brasil",2023-07-06,28.0,22.0,24.5,31.8,22.0,24.7,23.1,92.4,26.5,100.0,83.33,rain,0,,37.1,22.3,178.0,1015.3,86.4,7.8,233.9,20.1,8,10,2023-07-06T05:34:13,2023-07-06T17:14:24,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,SBRF
4,"Recife, PE, Brasil",2023-07-07,26.0,23.0,24.2,26.0,23.0,24.2,23.5,96.0,42.4,100.0,83.33,rain,0,,35.3,22.3,129.8,1014.8,93.5,6.5,178.2,15.4,8,10,2023-07-07T05:34:19,2023-07-07T17:14:38,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,SBRF
5,"Recife, PE, Brasil",2023-07-08,27.0,23.0,24.8,30.5,23.0,25.0,22.9,89.5,17.3,100.0,91.67,rain,0,,28.1,24.1,97.5,1014.7,64.7,14.0,198.8,17.1,8,10,2023-07-08T05:34:24,2023-07-08T17:14:52,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,SBRF
6,"Recife, PE, Brasil",2023-07-09,26.3,24.8,25.5,26.3,24.8,25.5,22.2,82.3,25.0,90.5,100.0,rain,0,,27.7,21.6,96.3,1016.1,43.8,10.7,192.7,16.5,7,10,2023-07-09T05:34:28,2023-07-09T17:15:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
7,"Recife, PE, Brasil",2023-07-10,26.7,25.6,26.0,26.7,25.6,26.0,21.3,75.2,1.7,52.4,37.5,rain,0,,28.4,25.6,127.8,1016.6,8.9,23.3,235.8,20.3,8,10,2023-07-10T05:34:32,2023-07-10T17:15:19,0.75,Rain,Clear conditions throughout the day with a chance of rain.,rain,
