,datetime,description,icon
0,2023-07-03,Partly cloudy throughout the day with early morning rain.,rain
1,2023-07-04,Partly cloudy throughout the day with rain.,rain
2,2023-07-05,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
3,2023-07-06,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
4,2023-07-07,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
5,2023-07-08,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
6,2023-07-09,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
7,2023-07-10,Clear conditions throughout the day with a chance of rain.,rain
